Month,Price
2014-01,33.47
2014-02,32.82
2014-03,33.81
2014-04,35.83
2014-05,35.63
2014-06,35.59
2014-07,35.99
2014-08,35.59
2014-09,35.47
2014-10,35.22
2014-11,34.7
2014-12,33.65
2015-01,33.19
2015-02,32.67
2015-03,32.14
2015-04,31.49
2015-05,31.55
2015-06,30.41
2015-07,28.8
2015-08,28.93
2015-09,30.04
2015-10,31.21
2015-11,31.18
2015-12,32.43
2016-01,34.2
2016-02,34.72
2016-03,36.3
2016-04,39.55
2016-05,40.14
2016-06,40.14
2016-07,40.38
2016-08,41.39
2016-09,41.6
2016-10,41.55
2016-11,41.69
2016-12,41.57
2017-01,42.13
2017-02,42.62
2017-03,42.77
2017-04,42.91
2017-05,43.04
2017-06,42.88
2017-07,43.44
2017-08,44.11
2017-09,44.6
2017-10,44.28
2017-11,43.99
2017-12,43.16
2018-01,42.08
2018-02,41.11
2018-03,40.89
2018-04,39.89
2018-05,36.82
2018-06,37.77
2018-07,39.74
2018-08,40.08
2018-09,39.96
2018-10,39.62
2018-11,39.69
2018-12,38.91
2019-01,38.57
2019-02,38.9
2019-03,38.7
2019-04,38.72
2019-05,39.38
2019-06,39.9
2019-07,39.76
2019-08,39.67
2019-09,40.22
2019-10,40.55
2019-11,40.51
2019-12,40
2020-01,40.06
2020-02,39.75
2020-03,39.36
2020-04,40.39
2020-05,39.91
2020-06,39.89
2020-07,40.25
2020-08,40.32
2020-09,40.61
2020-10,40.23
2020-11,39.98
2020-12,40
2021-01,39.98
2021-02,39.52
2021-03,39.4
2021-04,39.78
2021-05,40.44
2021-06,40.32
2021-07,40.14
2021-08,40.56
2021-09,41.98
2021-10,43.21
2021-11,43.35
2021-12,43
2022-01,42.56
2022-02,42.22
2022-03,42.06
2022-04,41.95
2022-05,42.31
2022-06,42.53
2022-07,42.42
2022-08,42.65
2022-09,42.93
2022-10,43
2022-11,43.16
2022-12,43.08
2023-01,42.69
2023-02,42.25
2023-03,42.11
2023-04,42.64
2023-05,43.09
2023-06,43.34
2023-07,43.38
2023-08,43.34
2023-09,43.88
2023-10,44.41
2023-11,45.08
2023-12,45.21
2024-01,44.95
2024-02,44.78
2024-03,44.59
2024-04,44.59
2024-05,44.81
2024-06,45.11
2024-07,45.18
2024-08,44.99
,42.27
