Month,Price
2014-01,29.66
2014-02,30.12
2014-03,30.93
2014-04,30.95
2014-05,31.28
2014-06,31.53
2014-07,32.17
2014-08,33.13
2014-09,33.41
2014-10,33.37
2014-11,33.54
2014-12,34.05
2015-01,34.83
2015-02,34.85
2015-03,34.91
2015-04,35.05
2015-05,34.92
2015-06,34.9
2015-07,35.2
2015-08,35.08
2015-09,35.09
2015-10,35.03
2015-11,34.85
2015-12,35.28
2016-01,35.2
2016-02,35.26
2016-03,35.2
2016-04,35.06
2016-05,35.28
2016-06,36.11
2016-07,36.8
2016-08,36.95
2016-09,36.88
2016-10,37.17
2016-11,37.7
2016-12,37.16
2017-01,37.1
2017-02,37.24
2017-03,37.2
2017-04,37.72
2017-05,37.86
2017-06,37.82
2017-07,37.81
2017-08,38.04
2017-09,38.12
2017-10,38.44
2017-11,38.88
2017-12,38.46
2018-01,38.53
2018-02,38.24
2018-03,37.95
2018-04,38.04
2018-05,37.94
2018-06,38.14
2018-07,38.22
2018-08,38.41
2018-09,38.2
2018-10,37.69
2018-11,37.63
2018-12,38.07
2019-01,38.01
2019-02,38.2
2019-03,38.2
2019-04,38.13
2019-05,38.28
2019-06,38.16
2019-07,38.35
2019-08,38.37
2019-09,38.92
2019-10,39.26
2019-11,39.56
2019-12,39.78
2020-01,39.67
2020-02,39.85
2020-03,40.51
2020-04,41.57
2020-05,41.84
2020-06,42.75
2020-07,42.83
2020-08,42.8
2020-09,42.82
2020-10,42.8
2020-11,42.94
2020-12,43.75
2021-01,44.4
2021-02,45.09
2021-03,46.26
2021-04,45.99
2021-05,45.92
2021-06,46.1
2021-07,46.14
2021-08,46.08
2021-09,46.38
2021-10,47
2021-11,47.5
2021-12,47.96
2022-01,47.98
2022-02,48.06
2022-03,48.32
2022-04,48.59
2022-05,49.08
2022-06,49.06
2022-07,49.25
2022-08,49.41
2022-09,50.22
2022-10,50.97
2022-11,51.37
2022-12,51.67
2023-01,51.87
2023-02,51.89
2023-03,52.19
2023-04,53.52
2023-05,54.27
2023-06,54.42
2023-07,54.69
2023-08,54.59
2023-09,54.85
2023-10,55.09
2023-11,55.1
2023-12,55.13
2024-01,55.15
2024-02,55.29
2024-03,55.29
2024-04,55.34
2024-05,55.32
2024-06,55.58
2024-07,55.68
2024-08,55.77
