Month,Price
2014-01,165.1
2014-02,175.03
2014-03,171.31
2014-04,175.41
2014-05,180.12
2014-06,178.3
2014-07,178.83
2014-08,179.08
2014-09,179.29
2014-10,182.48
2014-11,183.83
2014-12,195.52
2015-01,201.98
2015-02,200.51
2015-03,189.94
2015-04,190.69
2015-05,192.23
2015-06,193.05
2015-07,198.35
2015-08,197.19
2015-09,195.24
2015-10,196.51
2015-11,184.85
2015-12,187.72
2016-01,186.75
2016-02,186.92
2016-03,176.8
2016-04,177.41
2016-05,180.04
2016-06,180.62
2016-07,177.85
2016-08,179.61
2016-09,175.82
2016-10,172.51
2016-11,171.96
2016-12,176.75
2017-01,177.27
2017-02,178.75
2017-03,179.1
2017-04,179.15
2017-05,179.78
2017-06,179.98
2017-07,183.13
2017-08,183.42
2017-09,182.17
2017-10,183.54
2017-11,188.96
2017-12,189.48
2018-01,190.24
2018-02,191.32
2018-03,192.19
2018-04,193.8
2018-05,195.08
2018-06,194.84
2018-07,198.54
2018-08,204.42
2018-09,199.85
2018-10,201.58
2018-11,198.6
2018-12,203.76
2019-01,201.89
2019-02,200.29
2019-03,201.16
2019-04,201.36
2019-05,199.67
2019-06,198.02
2019-07,200.44
2019-08,199.12
2019-09,201.29
2019-10,203.09
2019-11,205.22
2019-12,204.49
2020-01,206.02
2020-02,205.57
2020-03,207.35
2020-04,208.18
2020-05,205.4
2020-06,207.93
2020-07,209.61
2020-08,212.45
2020-09,212.71
2020-10,215.53
2020-11,218.94
2020-12,234.86
2021-01,259.53
2021-02,276.21
2021-03,263.92
2021-04,267.86
2021-05,261.08
2021-06,265.05
2021-07,264.97
2021-08,265.72
2021-09,263.86
2021-10,266.62
2021-11,264.78
2021-12,268.88
2022-01,268.68
2022-02,271.98
2022-03,268.76
2022-04,266.44
2022-05,268.03
2022-06,266.72
2022-07,267.5
2022-08,268.32
2022-09,276.75
2022-10,282.05
2022-11,284.08
2022-12,282.03
2023-01,282.1
2023-02,276.35
2023-03,278.78
2023-04,281.37
2023-05,278.58
2023-06,279.43
2023-07,278.38
2023-08,279.63
2023-09,278.41
2023-10,277.42
2023-11,276.24
2023-12,276.4
2024-01,278.14
2024-02,278.22
2024-03,277.94
2024-04,276.37
2024-05,276.34
2024-06,277.75
2024-07,276.84
2024-08,273.09
