Month,Price
2014-01,20.31
2014-02,20.23
2014-03,20.33
2014-04,20.01
2014-05,19.6
2014-06,19.15
2014-07,19.2
2014-08,19.9
2014-09,19.43
2014-10,19.65
2014-11,19.35
2014-12,18.83
2015-01,18.91
2015-02,19.29
2015-03,19.23
2015-04,19.01
2015-05,18.44
2015-06,17.79
2015-07,18.02
2015-08,18.27
2015-09,18.29
2015-10,18.91
2015-11,19.35
2015-12,19.25
2016-01,19.34
2016-02,19.52
2016-03,19.06
2016-04,18.88
2016-05,18.88
2016-06,18.6
2016-07,18.11
2016-08,18.39
2016-09,18.54
2016-10,18.8
2016-11,19.04
2016-12,19.61
2017-01,19.71
2017-02,19.68
2017-03,19.28
2017-04,18.57
2017-05,18.04
2017-06,17.89
2017-07,18.37
2017-08,18.65
2017-09,18.53
2017-10,18.55
2017-11,18.74
2017-12,18.8
2018-01,18.67
2018-02,18.79
2018-03,18.35
2018-04,18.39
2018-05,18.2
2018-06,18.51
2018-07,18.57
2018-08,19.38
2018-09,19.5
2018-10,19.7
2018-11,20.28
2018-12,22.35
2019-01,24.62
2019-02,25.55
2019-03,25.69
2019-04,25.04
2019-05,24.87
2019-06,25.28
2019-07,25.51
2019-08,26.2
2019-09,26.16
2019-10,27
2019-11,26.5
2019-12,26.38
2020-01,26.95
2020-02,26.87
2020-03,26.98
2020-04,26.8
2020-05,25.94
2020-06,25.6
2020-07,25.79
2020-08,26.05
2020-09,25.75
2020-10,25.46
2020-11,25.59
2020-12,26.02
2021-01,26.19
2021-02,24.55
2021-03,24.39
2021-04,23.08
2021-05,22.42
2021-06,22.55
2021-07,22.69
2021-08,22.63
2021-09,22.98
2021-10,23.87
2021-11,24.61
2021-12,24.55
2022-01,24.59
2022-02,24.62
2022-03,25.05
2022-04,25.56
2022-05,25.68
2022-06,25.94
2022-07,26.29
2022-08,27.21
2022-09,27.9
2022-10,28.18
2022-11,28.7
2022-12,29.47
2023-01,30.67
2023-02,31.62
2023-03,30.55
2023-04,29.29
2023-05,28.95
2023-06,29.18
2023-07,29.68
2023-08,29.89
2023-09,30.31
2023-10,30.39
2023-11,30.86
2023-12,30.75
2024-01,30.73
2024-02,30.76
2024-03,30.55
2024-04,30.5
2024-05,30.37
2024-06,30.56
2024-07,30.82
2024-08,30.64
